funny,value
hahah...balled,2.0
hahahahaga,2.0
hahahahahahhaha,2.0
“hahahaha”,2.0
haha....,1.0
haha’s,1.5
hahhaahahgagag,2.0
hahaha?,1.5
hahah....,1.5
hahah...,1.5
ahhhhaha,2.0
lmaof,2.0
ahaha!,1.5
hahahahhahahaah,2.0
